"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Pull Up";"1";"0.0";"6";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Pull Up";"2";"0.0";"6";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Pull Up";"3";"0.0";"6";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Pull Up";"1";"12.0";"8";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Pull Up";"2";"12.0";"6";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bent Over Row (Barbell)";"1";"20.0";"12";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bent Over Row (Barbell)";"2";"60.0";"12";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bent Over Row (Barbell)";"3";"60.0";"12";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bent Over Row (Barbell)";"4";"60.0";"12";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bent Over Row (Barbell)";"5";"60.0";"0";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Seated Row (Machine)";"1";"45.0";"12";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bench Press (Barbell)";"1";"40.0";"12";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bench Press (Barbell)";"2";"80.0";"6";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bench Press (Barbell)";"3";"90.0";"2";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bench Press (Barbell)";"4";"70.0";"8";"";"";"";"";""
"1";"2023-03-15 08:40:05";"Entraînement du matin";"3863";"Bench Press (Barbell)";"5";"60.0";"12";"";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Squat (Barbell)";"1";"20.0";"12";"6.5";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Squat (Barbell)";"2";"40.0";"12";"7.0";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Squat (Barbell)";"3";"50.0";"12";"8.5";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Squat (Barbell)";"4";"60.0";"10";"9.5";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Squat (Barbell)";"5";"60.0";"12";"";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Squat (Barbell)";"6";"60.0";"12";"";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Squat (Barbell)";"7";"80.0";"6";"";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Squat (Barbell)";"8";"60.0";"12";"";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Seated Leg Curl (Machine)";"1";"59.0";"12";"6.5";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Seated Leg Curl (Machine)";"2";"66.0";"12";"7.0";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Seated Leg Curl (Machine)";"3";"66.0";"10";"9.5";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Seated Leg Curl (Machine)";"D";"66.0";"14";"10.0";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Seated Leg Curl (Machine)";"D";"45.0";"15";"10.0";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Leg Extension (Machine)";"1";"66.0";"12";"7.5";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Leg Extension (Machine)";"2";"66.0";"12";"8.0";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Leg Extension (Machine)";"3";"59.0";"12";"9.5";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Leg Extension (Machine)";"D";"73.0";"12";"9.5";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Leg Extension (Machine)";"D";"52.0";"5";"";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Leg Extension (Machine)";"D";"25.0";"12";"";"";"";"";""
"2";"2023-03-15 10:23:02";"Leg";"6486";"Leg Extension (Machine)";"D";"45.0";"1";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Bench Press (Barbell)";"1";"20.0";"20";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Bench Press (Barbell)";"2";"60.0";"6";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Bench Press (Barbell)";"3";"80.0";"3";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Bench Press (Barbell)";"4";"95.0";"1";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Bench Press (Barbell)";"F";"105.0";"1";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Bench Press (Barbell)";"D";"100.0";"1";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Bench Press (Barbell)";"D";"80.0";"6";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Bench Press (Barbell)";"D";"60.0";"8";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Seated Overhead Press (Dumbbell)";"1";"20.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Seated Overhead Press (Dumbbell)";"2";"24.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Seated Overhead Press (Dumbbell)";"3";"26.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Seated Overhead Press (Dumbbell)";"4";"26.0";"9";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Chest Dip";"1";"0.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Chest Dip";"2";"8.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Chest Dip";"3";"12.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Chest Dip";"4";"12.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Skullcrusher (Dumbbell)";"1";"5.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Skullcrusher (Dumbbell)";"2";"10.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Skullcrusher (Dumbbell)";"D";"10.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Skullcrusher (Dumbbell)";"D";"5.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Skullcrusher (Dumbbell)";"D";"10.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Skullcrusher (Dumbbell)";"D";"5.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Triceps Extension";"1";"14.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Triceps Extension";"2";"14.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Triceps Extension";"3";"14.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Triceps Extension";"4";"14.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Lateral Raise (Dumbbell)";"1";"8.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Lateral Raise (Dumbbell)";"2";"8.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Lateral Raise (Dumbbell)";"3";"8.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Lateral Raise (Dumbbell)";"4";"8.0";"15";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Chest Fly";"1";"80.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Chest Fly";"2";"72.0";"12";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Chest Fly";"D";"70.0";"10";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Chest Fly";"D";"48.0";"8";"";"";"";"";""
"3";"2023-03-17 13:02:22";"Chest and Triceps";"8166";"Chest Fly";"D";"35.0";"8";"";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Squat (Barbell)";"1";"20.0";"12";"6.5";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Squat (Barbell)";"2";"60.0";"10";"7.0";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Squat (Barbell)";"3";"60.0";"10";"8.5";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Squat (Barbell)";"4";"60.0";"12";"9.5";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Squat (Barbell)";"5";"70.0";"7";"";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Squat (Barbell)";"D";"80.0";"6";"";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Squat (Barbell)";"D";"60.0";"8";"";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Squat (Barbell)";"D";"40.0";"12";"";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Seated Leg Curl (Machine)";"1";"52.0";"12";"6.5";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Seated Leg Curl (Machine)";"2";"59.0";"12";"7.0";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Seated Leg Curl (Machine)";"3";"66.0";"12";"9.5";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Standing Calf Raise (Dumbbell)";"1";"22.0";"25";"";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Standing Calf Raise (Dumbbell)";"2";"22.0";"25";"";"";"";"";""
"4";"2023-03-19 17:52:54";"Leg";"3561";"Standing Calf Raise (Dumbbell)";"3";"22.0";"25";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Bench Press (Barbell)";"1";"20.0";"20";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Bench Press (Barbell)";"2";"60.0";"12";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Bench Press (Barbell)";"3";"80.0";"8";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Bench Press (Barbell)";"4";"90.0";"5";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Bench Press (Barbell)";"5";"100.0";"1";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Bench Press (Barbell)";"D";"80.0";"9";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Bench Press (Barbell)";"D";"60.0";"8";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Bench Press (Barbell)";"D";"40.0";"12";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Seated Row (Machine)";"1";"20.0";"12";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Seated Row (Machine)";"2";"30.0";"10";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Seated Row (Machine)";"3";"30.0";"12";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Seated Row (Machine)";"4";"40.0";"5";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Chest Dip";"1";"10.0";"10";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Chest Dip";"2";"0.0";"12";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Chest Dip";"3";"8.0";"10";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Chest Dip";"4";"8.0";"12";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Skullcrusher (Dumbbell)";"1";"10.0";"8";"";"";"";"";""
"5";"2023-03-20 13:45:14";"Chest and Triceps";"5488";"Skullcrusher (Dumbbell)";"2";"10.0";"8";"";"";"";"";""
